#options: 1920x1118 fps=15/1 timebase=1/15 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:89 out:91 type:b dur:2 cpbdur:2 q:26.33 aq:15.79 tex:3468 mv:455 misc:613 imb:26 pmb:57 smb:8317 d:s ref:0 ;
in:91 out:92 type:b dur:2 cpbdur:2 q:27.45 aq:22.22 tex:1625 mv:357 misc:522 imb:22 pmb:38 smb:8340 d:- ref:0 ;
in:96 out:93 type:P dur:2 cpbdur:2 q:27.15 aq:14.53 tex:3557 mv:403 misc:864 imb:11 pmb:67 smb:8322 d:s ref:0 ;
in:94 out:94 type:B dur:2 cpbdur:2 q:27.58 aq:19.55 tex:60 mv:50 misc:498 imb:0 pmb:16 smb:8384 d:s ref:0 ;
in:93 out:95 type:b dur:2 cpbdur:2 q:27.79 aq:25.21 tex:409 mv:93 misc:434 imb:2 pmb:10 smb:8388 d:s ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:27.37 aq:19.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8400 d:- ref:0 ;
in:100 out:97 type:P dur:2 cpbdur:2 q:26.29 aq:12.88 tex:1437 mv:300 misc:911 imb:8 pmb:92 smb:8300 d:s ref:0 ;
in:98 out:98 type:B dur:2 cpbdur:2 q:26.72 aq:18.55 tex:45 mv:15 misc:468 imb:0 pmb:5 smb:8395 d:s ref:0 ;
in:97 out:99 type:b dur:2 cpbdur:2 q:26.94 aq:19.00 tex:0 mv:0 misc:400 imb:0 pmb:0 smb:8400 d:s ref:0 ;
in:99 out:100 type:b dur:2 cpbdur:2 q:26.50 aq:19.55 tex:18 mv:4 misc:418 imb:0 pmb:1 smb:8399 d:- ref:0 ;
